Handle,Score
wasman01,0
mandyle00094108,0.02
raczek003,1
etcheclesjol,1
pogorelckorey,1
choleemax,0
drex143,0
g00000gy,1
barabou,1
liuding-jason,0
keremyapar,0
fsjaldoescrypto,1
godeacs17,1
0xbjad,1
asgsdhdsh,1
leon154132,1
ianboric,1
patrickqnshq,0
martingrantqhyf,1
wudiandong,1
huseyinemre4455,1
wrightrucet,1
roman51485,1
lang123123a,0
alma36,0
armaver,1
lookover12,0
delong2022,1
jgdnsii,1
hebedebere5,1
elephanttree58,1
kunlefighter,0
sharonds,0
cyanglacier,0
apenbel,1
hyginus215,1
jvuluxaendh,1
ashik1214,0
04c,0
nastaer,1
jjjjlksza,1
chgiersch,0
coinmasai,1
drkarakussametgmail,1
surftranquille,0
qiqi111111,0
atwooeath,1
aalbatross11,1
dfegrdhrjf,1
qiuhua2021,1
ye2keke,1
bobobug1,1
v1oo,0
deedetht,1
maxtatar228,1
damarismom,1
nonstoptheo,0
sodiumstar,0
ced185crypto,1
hoang993,1
1r3ndww,1
lovebewhat,1
luktom1,1
ehan229,1
jnsrock01,1
ajbealeth,0
freddmannen,0
maximusspb,1
dogemos,0
dtpwnz,1
seu813794,1
murzik98,0
fargsenmorgab,1
axel-fehr,0
cabaymauu,0
andrewedc,1
stewardnel,1
nimakoo,1
ayushgw,0
pooteeoowf,1
byte1122,0
gzweb,0
bandradeg274,1
drf7474,1
turtwigdude13,1
wssfhgmnkcc,1
oana112,0
eaglet2022,1
gooong,0
captd0pe,1
turja-c,0
seione2022,1
15895305231,0
malenfolio,1
patutd074,0
androlhala,1
brigham13,1
longtailed-tit,1
alvinhung,0
remybaca,1
reddevildoc,1
paulharperstudio,1
w1kke,0
lassucelo,1
luoyuqun123,0
naahilduimka,1
swordboard,0
suchy82,1
kakason268,1
dmitrijkrunov,1
yoyruan,1
trsnjearha,1
taitaneth,1
abrahamnahu,1
gmyyds123,1
usrbad,0
teaseeslon,1
pdojaga,1
udoty,1
jioe0653,1
nahidbrrn,1
kristoferlund,0
milobowman,1
kimiqi,1
stakecrypto,1
muhammad21-oos,0
alaniskertzmann432542,1
balaew,1
harikrishnantc,1
gjramayya,0
idyjj,0
qianyuheng77,1
dearro7,0
theresaturnon,1
ff919,1
rohan567886,1
dorisduoduo,1
emma831,1
shushutwo,1
kpjlvmdco,1
janesakeeble,1
meowment,0
evkim1988,0
temmie46,1
xuemu6685815165,0.04
junekij,1
yuanjiangg,1
ffgdsgtrshb,1
qgwbkh,1
bamery188,1
nwspuhe,1
milad8808,1
bgsbtrbtr,1
june911,0
nildan313,1
kaimicahmills,0
coleman1966,1
llljgffdd,1
sonvaleria,1
zly66,1
anggadrive,1
bbsucker,1
zaheer54824,0
novokovdenis69,1
demonsixliu,1
kjxq,0
kelmaran,1
lamaroni,1
wanshan2048,0
sqbz2,1
90cengiz,1
kriskris88,1
martianlazarus,1
miguelangel310873,1
xkxskk,1
touristskiff,1
5761847,1
nhalynx,1
nnfgsddcvbj,1
cayenne168,1
tear99,1
adni090,1
b-tekuniverse,1
sen982,1
khocup,1
juglyofson,1
apolofl586,1
duyent62730,1
happyaq,1
palmmehipp,1
yasinrobin,0
sdjhgaueu,1
lawandaedwards,1
larisaas,1
thangmmo2506,0
wenkaic,1
sanyakiska,1
repla62,1
huashucao,0
kharvia,0
poppindx,0
dmitrym47,1
hubdata,0
palandot,1
timelighters,1
trader82,1
krzychu010,1
fastfastt1234,1
badaboom79,1
thomas866,0
bnjplhdr,1
dunefloater,0
ntxoo,1
khunchan,0
nabilaho,1
heroughthb,1
wenoorando,1
vgbkkk,1
sourabupadhya123,0
zhj0926,1
xxfengzz,1
akagami404,0
dimkadobro,1
devvdn1263,0
vasim7413,0
treaszkosd,1
alise1234456,1
gridstongf,1
mehdiehdsh,1
neumbuckro,1
thanesr,1
rodlyttons,1
neel4289,1
wojtekwtf,0
annastay,1
bytyong,1
devin1993clifford,1
typicaltrader,1
hidayatgp1,0
airfour,1
qiania,1
myrtiam,1
cozycatto,1
l0619,1
noiyu,1
lxd1593574,1
flg18619,1
kenny-code,0
1xb2,1
kornbert12,1
dongmajie,1
chechulinadagesta,1
trumpuu,1
erik0026,0
dxyton,1
utzmc,1
peigengen,1
flynncx2,1
vikxnebu,0
muazia,1
neuweltgeld,1
wy40,1
siddhearta,1
oknosana,1
fi7282,1
ertson4444,1
smithuce,1
matrixmatrrrix,1
obvjebe,1
cynthia90210,0
algoj007,1
0923788,1
leonardo24072020,0
umckabear,0
orcabrandlab,0
dirrhelint,1
tuhaigou,1
hexiaoqiou,1
rekosheto,1
reyrere45,1
genevievesda,1
jorkoou,1
papapax27,1
yangxl1984,0
kendylhkervin,1
bakedent,1
meihooh,1
e6abb,1
jesusadesote,1
pamelapatience,1
lei-xuanxiao,0
alan47-crypto,0
babiooof,1
olegjt,1
top4sv,0
wp99886655,1
daimon-1,1
bnbvip86,1
mankalus,1
fftgjtdjdjhdhd,1
imkgjhmfg,1
malachikerr,1
oben10570163,1
199rahulgupta,0
minhaj1998,0
ezid4400,1
jujuhu1,1
michell51014293,0
kjhgfdth3,1
readinessss,1
sarahwe97809475,0.02
sajadbhr93,1
dehua927,1
rummzink,0
aardvark-grogu,1
baoxiaxia,1
mrcultamnder,1
palmpresident,0
donna3255241,1
kevinduan2021,0
rizbol2,1
mune-1028,1
tshwangq,0
bolatfurkan,1
zk9999,1
nonsimo,0
d-cypher,0
zahrasaf,0
gudaolong2,1
cryptozxc,1
pxy111,0
matip14,0
ticalubin,1
nadyachebukina,1
puzzithinker,0
fengchgo,1
aliabdullah54,0
tomsmithzy1,0
8lnatural,1
artabesh,0
benz636,1
jim99gmail,1
mirelabacita,1
gaurav9188,1
maneo3212,1
ljf201,1
name-anastasia,1
andrewwgreenn46,1
0xsinamap,1
trytotest114,0
mediicobibby,1
jenaissance2,1
andrewdgould,1
michael1011,0
rigime,1
dawnbantdrhbd,1
mwt6597,1
bambinice,1
aljo1235,1
lucasl3403134,1
ivproduced,1
masabb,1
rudorph,1
wen1788,1
jukpala1,1
qunkong8,1
royrockefellers,1
euphrathes,1
davidowiczgaynell,1
gsuazo87,0
svinnavl,1
sungrowelec,1
tiredbutok,0
igwuibw,1
hellenli6862,1
yamaken3ba,1
iamjustvictor,0
cirman2,1
koltigin,1
bushini2,1
depjack,1
ima-briggs,1
sykt199,1
metanative-eth,1
yiqing28,0
thomasradio,1
fjhgjasdfaa,1
tranminhhauqn1995,1
cocblack,0
danisest,1
helmetmimin,0
ojiisannft,0
matilid,1
bauyell,1
chubinhnguyen36715,1
driedscallions,0
nanosudo,1
dgct,0
dangokun,0
sodyyd,0
minhtbk,0
alexbacita,1
vvvvsheng,1
miaomiu45,1
crouton0916,1
morrisonlilly,1
nheolouis,1
jacquesdjean,0
minghui8899,1
rafachadud,0
svenschlegel,0
leishao0705,1
afourth,1
luiszaer,1
suvohait,1
mmarione,1
jasonedkins,0
youran1126111,1
lanlaowei851685866,0.04
qianzhou2020,0
ali-cryptone,1
jaykrat,0
martinfaraday,1
wrokjenk,1
alexis0320,1
agail5275,1
cvk11,1
efimovst,1
aomenlaobi1,1
yi-wei-coder,0
jonathtamekmarcel,1
saurabhk00,0
airzekz,1
vraakkax,1
mahi4ra,1
dygs666,1
pheneeliq,1
holliday29,1
nic-github-ux,0
294tatam,1
sstklen,1
davechoji,1
donggaohe,0
188xiaomi188,0
yokoyoko777,1
meltznertennley98,1
sourov37,0
jaydooge,1
narongchaisri8,1
wanghaha02,1
yiwulzycom,1
timekeepr,0
azizyano,0
deyejfsolpbx,1
rl958,0
vivekvijayvargia,0
roe9527,1
notyourbear55,1
catmium,0
dqdko,1
kkadvance,1
nickeycrypto,1
ramk777-stack,0
joydxofficial,0
vzlomcrypto,1
saniksin,0
grossowner,1
bcjiashu,1
jizhuo75915,0.04
berktopkan,1
mehmetaliatli,0
esetelopez,0
isabellgaiser740,1
zjk2222,1
lopeshandress,1
gklayh,1
argum007,1
mrtorabbeygi,1
dsfsdfsdfdfg,1
hashswapx,1
gong00023417,1
anthonypaglino,1
xiedzh,0
jingweizou,0
yusuf6613,0
aishappyy,1
qujiezhi,1
chaimee,1
sweetsugare,1
aleks-it,0
densdensdens,0
telonneakiryul,1
mattiekate559,1
cassannhub,1
xc95f,0
xxggll2001,1
luluzero,0
horsre,1
farrellx,1
nona1488,1
ethwithmy,1
qing8088,1
omidjd78,1
sal1y-h,1
kanya23,1
miz2022,1
plbcwenwu,1
gonzalesben,1
marcinmarchwiany,0
kimberlyperezac97,1
pavelthai,0
flamekaisar,0
misternian4,1
ranevi,0
mygithakan,1
david7191,1
waspsy8,1
bamgar1,1
seneseasff,1
luizfernandosg,0
yueguamao86151877,0.02
unanamy,1
l-tech,0
nadiaantony,0
traegyy,1
adelaide22151,1
ryuvsjyeih,1
frograin1,1
65faustoss,1
comeonandy1,1
saramohs,1
cblpneok,1
kyrana-coder,1
sisirccr,0
majixm,1
j9leger,1
dbdgwfhedvs,1
zhumulangma09,1
yanll11,1
kellywh02945648,0.02
vdefveree,1
zobront,0
totochangning,0
justeno,1
keshavlol,0
eve34560,1
paulcrypton,0
itwjokxag,1
speingbear,1
ekos61,1
cryptony87,1
vatenrb71rueot,1
charlie-witter,0
taig006,1
cky113,1
dannier666,1
arcchen1,1
igtokenp,1
rainbowfurby,1
katebruin,1
kkcar88,1
cameronnili5,0
degoindigo,0
cjldxkhkmi,1
shotgunmaster1998,0
polkastarterojka,1
lilibbb8,1
asap14,1
gitofdw,0
rogalskixycrystlevd,1
loplop11,1
augustejackie,1
lexander007,1
shopintq,1
divide-by-0,0
wolfhaley48,1
aktibk,0
nftjoe,0
cravent55,1
timincrypto,1
discor2022,1
jamesforgithub2,1
egrujr5ju,1
zoujianbin,1
jackechersa,1
pavlovnet,1
jebbobo,0
vuaao,0
ritsu-cyan,0
leylirahimi,1
nickpro2000,1
nhuthaohoa9,1
erkanborsa70,1
withaim,0
jiwooki88,1
parkervaughan,1
bitkaiji,1
jackyou125,1
bonscott667,1
huyatv1,1
multyafka,1
1fil,1
sumnemox,1
hol00,1
pv0lsort9,1
762115226,0
ethered,0
ratthwailey1230,1
lolq321,1
chobbyzk,1
tammylo,1
auouam,1
norariz,1
mass333,0
stevezsg,1
aylapatel100,1
legacycubed,1
boydspletzer,1
heltonlr,0
traveloitan,1
mexxolinek66a,1
jjjfgddsgjxbn,1
edgarevospace,1
vadfy,1
tyjksfhedtjmtdcnf,1
nellalsop,1
gao197921,0
the-decentralizer,1
duongmyxuan33719,1
mustatistics,0
teyseuqj,1
lovechaochao2258,1
dellit2007,0
dumba322,1
ywx0219,1
wizardofhex,0
hkosar4402,1
tikasdkon,1
mhgnnny,1
menorox,0
nale71422,1
duongmanhhung90,0
eagle0811,0
zhangmike305,1
bakhshi90,1
kk88smart,1
seeloxhnb,1
chenhebg,0
udturkoglu,1
mydefiland,1
sjbobo10,1
adamyoung71789,1
gore8,1
testnet002,1
hilltan,0
thisislexar,1
olivierfromparis,0
rmliu13,0
xiehuangcandou,0
hhjklcdbjhklh,1
smanic0001,1
abhishek06041994,0
mitalmnmedianr,1
zacharyaylor,1
safmax,1
midascoin98,0
kryptonowa,1
inuddle,1
zordiap1933,1
michaelcohen716,0
hallosei,1
rvd299,1
minakawa-daiki,0
feandegg,1
noelcerrillo,1
antoniari,1
cyama808,0
kotaro10a1,0
oxsbe,1
division666,0
alfredbrown1,1
airdropdenisrich,1
rohitairdrop098,1
kevforking,1
maniak1212,1
aslantekin,1
ozkanedge3yn3,1
sarot26,1
hunterchristia,1
bigred097,1
phantomldm,1
ivangbi,0
ui369,0
c7105,1
auroraug,1
rxman21,1
kunkun073,1
skcjasmine,1
kinsefelds,1
volcano88fdd,1
lena-li2,0
tinogood,0
thsjrt,1
putrikeme,1
payamrb,1
jstweleve12,1
hutsim,1
detoo,0
distete,1
archpunk,1
juzicuntian,1
tylaysho,1
sagarkarira,0
goprak,0
hogwardstv,0
kirinzhang,0
sololo1985,0
namchheav12,1
huyongwen2,1
crypton777,1
barbara96197218,0.02
93i7xo2,0
rsdyfreh,1
laurion,0
smartdog8,1
tanrong825,0.04
altugozturk,0
doudou520forever,0
brian-gardner,1
lzllyn,0
ngocbaotran2511,1
suhail-khan-mn,0
ee529080,1
neel-ds,0
jordi1310,1
msezp72,0
xule83415,0.02
cemilkemiksiz,1
miculcito,1
dgzedrujerur,1
torpongtep,1
meng971,0
bappu24,1
haft05,1
mazzy06,1
bartbral,0
tisithdf,1
skulstadv,0
546eac,1
barceloniusz,1
terry0303,0
dpvjokqm,1
jayaganesamohan,1
stud335,0
gruglikesrocks,1
15802841343,0
j8096,1
t-h-e-a-l-i,1
matiasclav,0
delmerstighkozayer,1
atelier03,0
dinamab,1
xbdyhh,0
zeeshancrysd,1
taka4423a,1
imblackjack1,0
jpawar14,0
zhangtgithub,0
wl259834,0
torpeedo222,1
svenssonkarlsson,1
taurus112358,1
horoshandrew,1
artakulov,0
liangjiajia1,1
lakeming,0
jasontabithadsad,1
yy193,1
thaslim7,0
feichide,1
mazitao1,1
ntdghbtdbj,1
bypietro1,0
keshkul,0
bvfgbtgsbbtb,1
cexo2,0
runnnnnnnnnn,1
andrey121279,1
hdarabim,1
1688metaverse,1
ppoteaack,1
lonelyboyzzzz,1
kvds-kalyanz,1
bentleyw2,1
chen17138,1
elroboto101,0
deenee50,1
juslik,1
rockeeq232,1
d371zwtztl1984,1
tanmayyyyyy,1
mender567,1
filip05336,0
godswap,1
homelesst,0
jbowen93,0
nikozahn,1
mehdianjel,1
kleoclv,1
xinjiapo10,1
mrsinguyen,0
winnilee,0
dalegowskicrista,1
goudanxiaoying,1
jlsikes92,0
setllaaldington,1
francisconhjuokameron,1
junijma,1
perun777,1
shaki07,1
anastasiyaof,0
indigindig4,1
zkfib,1
coring01,1
lys22315,1
joannabbottsgvs,1
icopokrovskyi,0
sasanjavadi111,1
coingyaan,0
benpercifield,0
aa2906123031,0
ili4s99,0
alexthims,1
seanwu307,1
moid0786,0
dilagio,0
nauzystan,1
takuya0224,1
akiphumi,0
ujnu676,1
urazanev,0
krendelyok1337,0
omotolat,0
beaumurray,1
weibobrush869,1
magayd,1
buho1906,1
nerdygee,1
tomiafandi,0
francestoak,1
maksim6845,1
akki990,1
ab1688,0
yahoooogc,1
bktemp3,1
ayuilos,1
dawidodud,1
jambo2235,1
nocheenmiami,1
rrrrr4,1
sgnofour,1
neginhomayoni,1
yunyuner34,1
ekremmm,0
enensa,1
rfwuclbs,1
cedaw05022,0
hassansazgar,1
jrvmkogeuba,1
mrmutantmatt,1
vadx4207,1
robertsel,1
hjg888,0
zamazingo50,1
kumaza,1
fhkktysr,1
hiangvure,1
howmhg,1
abby215,1
oopnbxx,1
alex42981032,1
doxosjas,1
reducti,1
klassicd,0
fselmo,0
op50333,1
tomtom30003000,1
yegogo3,1
miridiri,0
nonfungible777,1
dummypantseth,1
fbembeyaz,0
scrotie123,1
sessionsmargherita70,1
stangr1,0
malgo77,1
khruycmjs,1
eslamihok,1
jibajida,1
boris6254,1
hongweivv,1
musaa08,0
catbreathcat,1
gantu88217,0.04
savamaks71,1
0xnuggan,0
mask15852,1
foyaz09,0
vivexdori,1
pjorun,0
holderdot,1
chintanv2,1
irinka1125,1
ccwasus4,1
xt0916,1
pierrefrederic,1
pythonpete32,0
tiengpanna,1
naseresp,0
msaifi96,1
alikocoin,1
ddeaeljs,1
thisydnu,1
huoann,1
vincetori888,1
johnwickoo,0
chiwei2022,1
alice-cometh,1
cryptosuperrgirl,1
shenyezh,1
chiss-7,1
tarodesuyo,1
dmitriievseev,0
fundingcustomer7315,1
serhii23011989,0
mercuricchloride,0
achristopherjv,1
92github,1
edisony,0
razaq85,1
tataberto33,0
btxkplhms,1
davdas15,1
whoiswho17,1
rdesyeaij,1
tainganthe,1
apeinnft,1
huanqiangye8788,0.02
karryleeking,1
coldrex231,1
rccfglobal,1
mulligan-madness,1
newyorkoo,1
darrenlijc,1
ju3ud8,1
robertu7,0
shivanshu2108,1
phuongds,0
7i7o,0
nft2582,1
idoche,1
reeman221,1
jiangxingjun,1
dn520,0
soppablr,1
ambition-hjm,0
sirdotskillful,0
hayyaya,1
aspolat,0
navurio,1
weishuang0928,1
wbikrotaru,0
2046kiki,1
huntergoldman19,1
bule007,1
jaygeethika,1
wire707,0.04
jicishao956404,0.04
farbod3f,1
dongkuang96617,0.02
wang5five,1
nuomituanzi666,0
fannyxzrnf77,1
videshkumar,1
kdie89,1
welovecolors,1
hellenn111,1
bnztheb,1
justin40908320,1
moderneremite,1
yas019,1
br1704,0
annhan,0
jeremylin2022,1
sangjianwei,0
hary46,0
ahye50,0
audrey-de,0
dsun22,1
idunn222,1
dgdgdg178,1
propergood,0
orochi1972,0
mqc0007,0
lst-cap,0
obangg,1
zsm88888,1
a5092007,1
babatundetr,1
elelias1212,0
davidbecka,1
jesmrie,0
scf-research,0
akshay67486,1
nohitori,1
donswap,1
ialirezam,0
kljhg987,1
broira-eth,1
bdekors2,1
random047,1
zonghei81357,0.04
thegamer7890,1
prashant000007,1
iristimaure,1
adolflf,1
kimthy1012,1
chelikk868,1
atifchuhan,1
wilsonhua,0
metamusev,1
chouchaochu,1
lmzekglqwze3636,1
zzztthzzz,0
raiksibel,1
shaaa256,1
lijuan8470,1
dongjian520,1
bluemoonskyriver,1
chen29769sun,1
olegudel,1
snoopfear,0
gregcrypto0289,1
jbate77,0
issadocs,1
chichiperalta00,1
voguntona,1
tangqingyinna4,1
eevaain,0
hochstinejacquali,1
yosiyosiyo,1
d100-94,1
hoangvu87bk51,1
boothyerkess,1
olinkastin,1
mahlkegoth72,1
bblytherussell,1
zhuzhumei1101,1
zisulee,1
mtlfxz,1
arizaqul,0
georgoon,0
sitnaons,1
tatoughsu,1
bvvvp009,1
wame16,1
hkoanhfdiuagf,1
cavenjobs,1
miguelmtzinf,0
sasmaytltca,1
nokuria5,0
ecanr,1
wei1769,0
mohsenvp2020,1
bolotu900,1
deeparocks,1
krishna911,0
deing0285,1
nathanhoos,1
eiren3,1
dnhsth,1
zsdfxc,0
tylerng1990,0
suo11,1
starthaus-gallery,0
jerryz77,1
kmrn1,1
flaviagoma,0
verneraphae,1
tomderri,1
sorcer1122,0
olivercar55,1
barbarayal,1
enl809,1
degenavatar,1
wshannftx,1
ashiqnoob,1
cheng-zi-yad,0
evenmehmed,1
needmorespace,1
clareneddies,1
andy-ch3n,0
pyang2005,0
1top2,1
dorzievcyren85,1
jerefi,1
gorqrix,1
zen21090,0
phi100,1
lhz189,0
claudiawy,1
yangxa01,0
dokaa11,1
maxwelldrydens,1
ali99401,0
mina402,1
giatha0,0
meetungandboy,1
musoooobooooo,1
ior2022,1
guoxiaohui1989,0
wahyudisuhendri,0
segattoian,1
aalimsahin,0
shealau,1
neptunno,1
michalclea,1
dipa258,1
yemon9999,1
0xmikado,0
synopt1c,1
solpoap,1
goz313,1
alkofullon1990,0
tupiao875,1
iklpwgroup,1
8ventures,1
hsingfan,0
weihanni,1
zzzzheng0001,1
retrogradina,0
122526,1
yiyun2003,1
arears,1
jonyholsto54,1
phatchakelly,1
kolunm1,1
mingxin,0
0xcvs,1
rgchtone,0
wisteria19,0
hollyswanky,1
tb123455,1
beachersha,1
mage888,1
beaverhunt,1
ashrory,1
danisanz5,1
ohmsaharath,1
zhangxiaoxiao111,1
lethehung0104,0
langmut12h,0
sdydfhbdf,1
oleh33333,1
baekjames,0
avanish9696,1
phnxarya1,0
rogerthatser,1
montreal1609,1
thebanganesh,0
0xadrien9,1
ckcly,1
burak6446,1
pheroughthdbbdee,1
radvlados,1
noel-blazbluet,0
sodexx7,0
sandymor,1
gt1913,1
amjone2,1
jobanego,1
alenaerigina,1
cryptozua,1
mariammpk,1
platonimac,1
ben69007,1
ijdjjijing,1
nguyendanhvn,1
jayyu66,1
satyajik,1
awosayi,1
susanjoe,1
nbgoku,0
shaneue,0
muhammad-waqas-qureshi,1
asdvgatl,1
coinsherdev,1
preyeres,1
pifund2020,1
carolinafreit,1
ravenwoodau,0
zhuzhaohong,0
gladius777,0
serptr,1
qishanxk,1
ixl1637,1
goorman1,1
holic,0
maelasdkh453,1
