Handle,LevDistance,IntersectionalityScore,DDNADistance,APUScore,SADScore,GrantOwner,IPsShared
thanhthanh51715,4,0,0,0,1,0,0
yanshanmei3577,6,0,0,0,0.02,0,0
vicbassey,2,2,0.33,0,0,0,0.89
songson7092,4,1,0,0,1,0,0
pubengzhao48755,7,0,0,0,0.02,0,0
ya2804713346,6,0,0,0,0.02,0,0
rikomalt,3,1,0.05,0.1,1,0,0
iscccrea,3,1,0,0,1,0,0
araokaman,3,2,0.2,0.18,0,0,0
0xpeterpan,2,4,0.33,0.11,1,0,0
nd5551,2,2,0.44,0.11,1,0,1
galeniele,2,1,0,0,1,0,0
aniecute,3,2,0,0.1,1,0,0
evsr777,2,1,0.29,0.03,1,0,0
mykigai,2,0,0.63,0,0,0,0
krisyokko,3,3,0.04,0.13,1,0,1
hirama,1,3,0.38,0.16,0,0,0
befee887,3,1,0,0,1,0,1
prkishore0,2,3,0.21,0.1,0,0,0.5
manman61529,4,0,0,0,1,0,0
cenkkk789,4,2,0.5,0,1,0,0
bhattkamal19,5,3,0.29,0.1,1,0,0
topisky,1,3,0.6,0,0,0,0.87
yasss5,2,3,0.15,0,1,0,1
gududefengzhong,5,4,0.62,0.15,0,0,0.54
allyhernandez,3,4,0.44,0.1,0,1,0
sanyakiska,3,2,0.17,0.15,1,0,0
shaocainei5750798,9,0,0,0,0.02,0,0
xdlter,2,3,0.57,0,1,0,0
baoxian99319,5,0,0,0,0.02,0,0
daishunhuan2783,7,0,0,0,0.02,0,0
fanluanshuo873,6,0,0,0,0.02,0,0
huashun78758,5,0,0,0,0.02,0,0
yanglan94007,4,0,0,0,0.02,0,0.33
zanyuanshi30296,7,0,0,0,0.02,0,0
jmcmizu,3,0,0.3,0.1,1,0,1
elavin,1,4,0.75,0,0,0,0
saifrza6,1,2,0.04,0.2,1,0,0
milsteinhsh,5,4,0.75,0,1,0,0
connoroday,1,5,0.8,0.52,0,1,0.19
tursatur,3,1,0.19,0.11,1,0,0
otomarukanta,5,3,0.08,0,0,0,0.33
mcmich,2,3,0.45,0,0,0,0.67
danibergey,3,2,0.78,0,0,0,0
kingdavida,3,2,0.27,0.16,1,0,1
avatar4k,2,1,0.02,0.08,1,0,0.83
phs4655,3,3,0,0,1,0,1
kieu52628x,4,0,0,0,1,0,0
shuaishuaiw2003,5,1,0,0,1,0,0
thecrunks,3,4,0.38,0,1,0,0
zonpower,3,3,0.5,0.15,0,0,0.09
berksohto,4,3,0.38,0.44,1,1,0.05
cryptoludka,3,0,0.2,0.1,1,0,0.5
ermio,1,4,0.33,0.31,0,1,0.43
asmaral11,3,0,0,0,1,0,0
brendan91241,3,2,0,0.08,1,0,0
wwcci1919,4,1,0,0.08,1,0,0
mccoady,3,3,0.75,0.08,0,0,0
xiaochen1155,3,4,0.78,0,1,0,1
shashank-kumar,4,2,0.18,0.28,0,0,0
squeaksme,3,4,0.75,0,1,0,0
mahirakh,3,3,0.29,0,1,0,0.33
vik771,2,0,0,0.07,1,0,0
rgkmkw,3,0,0,0,1,0,0
victorjnr01,3,3,0.33,0,1,0,1
icefacter,3,2,0.38,0,1,0,0
yaphs3,1,3,0.11,0,1,0,1
numanceylanali,5,2,0,0,1,0,0
rx5803070,4,0,0,0.07,1,0,1
urabyakko,3,3,0.33,0.25,0,0,0
mastmcdonough,6,0,0.33,0.06,1,0,0
greencandlefund,6,4,0,0.11,1,0,0
bethvaight,4,0,0.18,0.11,0,0,1
ibizugbe7,4,3,0.29,0.1,0,0,0.87
meghanbrandt,4,2,0,0.07,1,0,0
oyisini,2,1,0.2,0,1,0,1
calebini,3,3,0.6,0,0,0,0
alextricky,3,4,0.43,0.13,1,0,0
robiin37,3,3,0.36,0.15,1,0,0
homnayw,3,2,0,0.1,1,0,1
maksimker,3,2,0.5,0.18,1,0,0.33
nadi4234987159,7,0,0,0,0.02,0,0
liandangji07204066,8,0,0,0,0.02,0,0
akbar04k,3,2,0,0.1,1,0,0
tukong88599960,7,0,0,0,0.02,0,0
xianggouao8308568,7,0,0,0,0.02,0,0
luyan24531,3,0,0,0,0.02,0,0
vlysenkoftw,5,3,0.27,0.13,1,0,0
pujiulie8917,6,0,0,0,0.02,0,0
guibiwei759686,7,0,0,0,0.02,0,0
shi4693124119,6,0,0,0,0.02,0,0.33
fupingyuan36391492,8,0,0,0,0.02,0,0
putao68388,3,0,0,0,0.02,0,0
nesroxart,3,3,0.5,0,1,0,0
ivamosk,2,2,0.36,0.08,1,0,0
rigorously,4,3,0.73,0.21,0,0,0
mita2022agustiani,8,3,0.04,0.11,1,0,1
rijessam,3,1,0.08,0,1,0,0
majibar8,3,3,0.15,0.26,1,0,0.67
subik96,3,2,0.2,0.1,1,0,0
artyzee,2,0,0.29,0,1,0,1
wanster109,3,4,0.19,0,1,0,0.12
vlos1994,2,3,0.33,0.15,1,0,0
koolkheart,3,2,0.53,0.1,0,0,0.67
oostafiychuk,4,3,0.2,0.15,1,0,0
rahmanas,2,0,0,0,1,0,0
tama2223,2,3,0.25,0.06,1,0,0
vodov1963,3,3,0.27,0.15,1,0,0
fred2477,2,1,0,0,0,0,0.7
jinxian2022,3,3,0.37,0.13,1,0,0.67
phisci200,3,0,0,0.1,1,0,0
sterlingb-eth,5,3,0,0,1,0,0
gabrielhm,1,0,0.67,0,0,0,0
ssa-hasans,4,1,0.32,0.15,0,0,1
omalicha,3,0,0.29,0.11,0,0,0.79
maahshaadii,4,4,0.5,0.1,1,0,0.5
ldmlvrtnk,4,3,0.2,0.18,1,0,0
lcalixxto,4,0,0.75,0.21,1,0,0
arnadawl1,1,1,0,0,1,0,0
linh61517o,4,0,0,0,1,0,0
rootbakuryu,4,4,0.4,0,1,0,0
pastetas12,4,0,0.68,0,1,0,0
sercheir,2,3,0.57,0.13,1,0,0.67
ilyasss10,3,1,0.17,0.1,1,0,0
enginpe,1,2,0.07,0.11,0,0,0
sanamsaraff,4,3,0.39,0.08,1,0,0
x608oy52,4,0,0.5,0.08,1,0,1
hakabhjder,4,1,0.21,0.15,0,0,1
perezdonaldd8,6,0,0.36,0,1,0,1
shellynelly,3,2,0.38,0.16,1,0,1
b1xt,1,2,0.62,0,1,0,0.1
g64355,2,4,0.19,0.1,1,0,0.72
hojimxc,3,4,0.54,0.1,1,0,0.25
robwil,2,0,0.67,0,0,0,0
butcorn,2,2,0.38,0,1,0,1
maccuoi2,3,2,0,0.1,1,0,0
lrvspb,2,3,0.19,0.15,0,0,0.14
deny100666,3,3,0.2,0.06,1,0,0.33
erinmagennis,4,3,0.44,0.1,0,0,0.09
ceresstation,3,4,0.75,0.26,0,1,0.1
muzisu1696ff6,1,0,0.18,0,1,0,1
yuyu9760956795,7,0,0,0,0.02,0,0
quesi89017,5,0,0,0,0.02,0,0
jess25z,3,1,0.33,0.08,1,0,1
mutui16323,4,0,0,0,0.02,0,0
sarrazine,3,2,0.71,0.13,1,0,0
duyou4234,3,0,0,0,0.02,0,0
haoquan923661901,8,0,0,0,0.02,0,0
yueguamao86151877,9,0,0,0,0.02,0,0
rujiao01995302,6,0,0,0,0.02,0,0
leici043,3,0,0,0,0.02,0,0
chongpaike444,5,0,0,0,0.02,0,0
tamphatyde4817,7,0,0,0,1,0,0
mikeaz,2,1,0.21,0.08,0,0,0
shadrach007,4,2,0.25,0,1,0,1
beastmode2047,4,0,0.6,0,0,0,0.62
ozarkozark,4,2,0,0,1,0,1
rlo5,1,3,0.17,0.2,1,0,1
sunny155,2,2,0.38,0.1,0,0,0
greengirl512,5,1,0.81,0,1,0,0
sjm-sammy,3,0,0,0.15,1,0,0
vmakter,2,0,0.25,0,1,0,0
havok-la,3,3,0.25,0,1,0,0
motivatedartist,5,0,0.43,0,1,0,1
glomoss,2,0,0,0.11,0,0,0
moonmish,3,3,0.18,0.03,1,0,0
hollygrimm,3,3,0.71,0.1,0,1,0.25
ryannewatlantis,5,3,0,0,1,0,1
jesuseyi,2,3,0.67,0.08,0,0,0.87
nakkas15,3,1,0.5,0.15,1,0,0
feeeniqs,3,3,0.07,0.08,0,0,0
thaivandang,2,0,0.17,0.05,1,0,0
tpl82,2,0,0.32,0,1,0,0
lilmahnaji,3,2,0,0.1,1,0,0
alecdalelio,4,4,0.66,0.39,0,0,0
hrsalazar,3,2,0.57,0,0,0,0.33
lumbitch,3,3,0,0.11,1,0,0
alfaamad,1,1,0.33,0,0,0,0.68
imranyon,2,2,0,0,1,0,0
loosepiece,3,4,0.33,0,0,0,0
theunity,3,3,0,0,0,0,0
stephensrichardd467,8,1,0.12,0.1,1,0,1
tylerharries18,4,1,0.45,0.04,1,0,0
weizheng9891,4,1,0,0.08,1,0,0
brianzzl,3,5,0.24,0.08,0,0,0
miguelmtzinf,4,3,0.45,0,0,0,0
adamstallard,4,3,0.64,0.13,0,0,0
edoubledown,2,2,0.67,0,1,0,0
aisowo,2,2,0.12,0,1,0,0.75
mala324,2,2,0,0.1,1,0,0
dibleamedina,4,0,0,0,1,0,0
gongdao064874930,6,0,0,0,0.02,0,0
parapazi,2,NA,0,0,1,0,1
0xgabi,2,2,0.69,0,0,1,0.01
grizzlysamurai,5,1,0.25,0,1,0,0
harun7310,2,2,0.42,0,0,0,0.23
daniel886353,4,1,0,0.11,1,0,0
ryanscottcausecast,9,NA,0.25,0.1,0,0,1
hangchuang561578,6,0,0,0,0.02,0,0
qiao702603937,5,0,0,0,0.02,0,0
tongchui8629170,7,0,0,0,0.02,0,0
huangyi570012960,6,0,0,0,0.02,0,0
wangjiye063728860,8,0,0,0,0.02,0,0
interestellarh,3,1,0,0,1,0,0.83
empatim,1,4,0,0.08,0,0,0
laoji9257654,6,0,0,0,0.02,0,0
huapu32304,4,0,0,0,0.02,0,0
xzcsad857,3,0,0,0,1,0,0
weina541638962,7,0,0,0,0.02,0,0
0xbenja,1,0,0,0.1,1,0,0
priyanggane,3,3,0,0,0,0,0.5
lordrike,2,1,0.33,0,1,0,0.67
day-sanchez,3,0,0.57,0,1,0,0
alf200-200,4,2,0.67,0,0,0,0
hothiennfr3418,6,0,0,0,1,0,0
segunbvmc,4,3,0.33,0,0,0,0.26
rlstnght,4,0,0,0.11,1,0,0
williamtucker3,4,1,0.17,0.1,1,0,0
sherry-chan-dev,5,2,0.44,0,1,0,0
moid0786,3,3,0.25,0.1,0,0,0.03
princevan700,4,1,0.4,0.08,1,0,0
vijaybahuguna96,7,3,0.36,0.1,0,0,0
lala131a1,3,2,0,0,1,0,0
adityashrma,3,4,0.06,0.11,1,0,0
osita09,2,0,0,0.05,1,0,0
jennefersaniger,6,0,0,0.06,1,0,0
alex02020,2,0,0,0.11,1,0,0
pinigeliai,4,0,0.5,0,1,0,0
calmanchen,3,4,0.14,0.13,1,0,0.69
kingmatics,2,1,0.55,0.11,0,0,0.91
lospolosssss,4,0,0,0,1,0,0.5
bsmtr,2,3,0,0,1,0,0.33
nasxv,2,3,0,0,0,0,0
hipodid,2,2,0.18,0.1,1,0,1
laureldenton,4,NA,0.45,0,1,0,1
gwilldan,2,2,0,0,0,0,0.92
mesavi,2,4,0,0,1,0,0.4
woleiayua1,4,2,0,0,1,0,0
jshaked,2,1,0.8,0,0,0,0
egullerr,3,3,0.46,0.25,0,0,0
mhmtysrkoca,5,4,0.25,0,1,0,0
parsonsal,3,0,0,0,1,0,0
xzcs4340,3,0,0,0,1,0,0
anshitraj,3,2,0.06,0.1,0,0,0
billionaira,2,3,0.31,0.1,0,0,0.94
tbusa,2,3,0.31,0.13,0,0,0
amit754,1,4,0.18,0.05,1,0,0
kotaro6,1,1,0.53,0.16,0,0,0
eamonn463,2,1,0,0.11,1,0,0
xzs77673,3,0,0,0,1,0,1
mettahead,3,5,0.64,0.11,0,1,0.38
owaresam,3,4,0.12,0,0,0,0.04
ib115599,4,0,0.17,0.11,1,0,0
skonto11,2,2,0.5,0,1,0,0
dmakinde14,4,3,0.44,0,1,0,0.62
mmatous,2,3,0.79,0.29,0,0,0
zhufuaa1,3,2,0,0,1,0,0
olaoluwa72,2,1,0.25,0.23,1,0,0.5
oswald18,3,3,0.66,0,0,0,0
tylerrmendez3,5,1,0.33,0,1,0,0
bchh150,2,1,0.02,0.11,1,0,0.25
xzsa9661,4,0,0,0,1,0,0
jeffsteph,3,0,0.58,0.13,0,0,0
chammyjay,3,0,0.2,0,0,0,0.75
binhay,1,2,0,0.1,1,0,0
valentinkond,3,2,0.63,0.21,0,0,1
zkeducation,2,1,0.8,0,0,1,0.24
profkripto,3,2,0.26,0,0,0,0
cihatklic,4,1,0.17,0,1,0,1
jadyjunia,3,0,0.67,0,0,0,0.47
dotinyfr2018,5,0,0,0,1,0,0
enigmatico77,3,3,0.64,0.11,0,0,0
alishah692,3,0,0.33,0.06,1,0,0.75
namojerry,2,1,0,0,1,0,1
nocomte1986,4,0,0,0.08,1,0,0
cryptoreactive,3,2,0,0.1,1,0,0.71
legacycubed,4,0,0.67,0.08,1,0,0
ramees4,2,0,0.33,0.11,1,0,0
mhaselka,3,4,0.6,0,0,0,0
ningitte,3,1,0.21,0.08,1,0,0
daudaopeyemi7,6,3,0.5,0.08,0.92,0,0.5
shuqiule,3,2,0,0,1,0,0
ryanreef,2,3,0.46,0,1,0,0
aggie20020,3,2,0,0.11,1,0,0
abhuta05,3,3,0.06,0.21,0,0,0
dksync,1,3,0.33,0,1,0,0
dmitrysbn,2,0,0.5,0.13,0,0,0
dh1957,2,2,0,0.07,1,0,1
pd2112,2,1,0.71,0,0,0,0
celiainside,4,2,0.5,0.13,1,0,0
taylanunal,3,1,0.67,0.08,0,0,0
duongxuanlong,4,2,0,0,0,0,0
jspctr,3,2,0.87,0,1,1,0
salvaca,2,3,0.62,0,0,0,0
jimjimvalkema,6,4,0.61,0,0,0,0.46
samkazemian,4,2,0.5,0,0,0,0
logonaut,2,5,0.8,0.31,0,0,0.57
dominion011,2,0,0.33,0,1,0,1
grasponcrypto,3,4,0.35,0.26,0,0,0
abdullah21315,3,3,0.17,0.11,0,0,0.8
franko4,2,2,0.5,0.11,1,0,0.88
aremia,2,2,0.14,0.11,0,0,0.53
luumama,2,1,0,0,1,0,0
dozerz,2,2,0.33,0.28,0,0,0
kaimicahmills,5,0,0.75,0,0,0,0
krvtch,2,4,0.32,0.2,0,0,0
svetaseyount,5,2,0,0,1,0,0
blackhawk-1,2,2,0.27,0.1,0,0,0
supertooom,3,3,0.2,0.1,1,0,0
cemib73,2,0,0,0.03,1,0,0.17
andrman11,2,0,0.17,0.1,1,0,0
nedhorning,3,1,0.65,0.15,0,1,0.67
smolnba,2,3,0.33,0.23,0,0,0.15
dandasilva95,4,2,0,0,1,0,0
unirax,2,4,0.04,0.03,1,0,0
khohon2,2,2,0,0.1,1,0,0
pear139,2,4,0.33,0.1,1,0,0.67
sameenabic,3,1,0,0.1,1,0,0
sincexx5,3,2,0,0.1,1,0,0
teremno,2,3,0.59,0,0,0,0
shobhit4515,3,0,0.5,0.2,0,0,0
hendyhere,2,0,0,0,1,0,0
ozcanten,3,2,0,0.13,1,0,1
oa679962,1,4,0.33,0,1,1,0.05
funmmy123,3,1,0.22,0.11,0,0,0.68
bobbyybutler38,5,1,0.33,0.1,1,0,0
abigailujunwa,5,2,0.11,0,0,0,1
sasha105431,3,3,0,0.13,1,0,0.5
sagarjethi,2,2,0.52,0.21,0,0,0.04
dracokall,3,1,0.67,0.18,1,0,0
omnianalytics,3,3,0.71,0,0,1,0.11
jmo100,2,0,0,0.11,1,0,1
nguyencongkhanh180191,8,1,0.17,0.11,1,0,0
kyrakyra999,5,0,0,0,1,0,0
bitgreenrick,4,2,0.38,0.13,1,1,0.11
oktcmali,3,0,0.23,0.1,1,0,1
crazyrabbitltc,3,4,0,0,0,1,0.17
vogue20033,4,3,0.47,0.11,0,1,0.76
cherry139,3,4,0.13,0.28,0,0,0.42
provodnik77,5,1,0.28,0.18,1,0,0.2
sgn2021,2,0,0.15,0,0,0,0.45
zcd221,2,2,0,0,1,0,1
anitajude,3,3,0.11,0,0,0,0.99
dimpapan,2,3,0.6,0,1,0,0
afrem987,3,3,0.6,0,1,0,0
yogiartnft,3,1,0.43,0,1,0,1
debby31,2,2,0.11,0.1,0,0,0.97
velvet-shark,5,4,0.33,0,0,0,0
openxyj859,5,2,0,0.1,1,0,0
ewaida6,2,0,0.33,0,1,0,0.29
br1704,2,0,0.2,0.1,0,0,0
terelich29,4,1,0.38,0.16,0,0,0
dannysyv,2,0,0,0,1,0,1
serayd61,3,3,0.1,0.2,0,0,0
vilanm,2,2,0,0.1,1,0,0
xzca7112,3,0,0,0,1,0,0
kiwohd,2,3,0,0,0,0,0.5
teyun-beginner,6,1,0.31,0.08,1,0,0
nahseni,2,3,0.19,0,0,0,0
nathanielsrex,3,3,0.18,0,0,0,1
oxsbe,2,3,0.67,0,1,0,0
sayswhogroup,4,2,0.35,0,0,0,0.89
tomokolinm05g,6,1,0,0.08,1,0,0
ibekanem,3,1,0.33,0,0,0,0.94
mjraj9612,3,3,0,0.13,1,0,0
kamuipbl,3,1,0.29,0,1,0,0.67
ackermansss,3,2,0.38,0.26,1,0,0
mysterious098,4,0,0,0,1,0,0
abdkar34,3,3,0.25,0.18,0,0,0.44
aspocer,2,1,0.33,0,0,0,0
hardy1696ff8,3,0,0,0,1,0,1
barneyrin,2,0,0,0.06,1,0,0
chitikenasandhya,7,3,0,0.13,1,0,0
xzasd423,3,0,0,0,1,0,0
secard51,3,1,0.11,0.11,1,0,0
duokongcrypto,3,2,0.11,0.18,0,0,0.84
mustafa69-code,5,0,0.13,0.03,0,0,0
sanama,1,4,0.6,0.1,1,0,1
crazy12cul8r,5,0,0.5,0,1,0,0
kankun11,1,2,0,0,1,0,1
hardy1696ch5,3,0,0,0,1,0,1
biogerm2022,3,3,0.33,0.1,1,0,0.67
jsm1121,2,4,0.41,0.23,1,0,0
glamdringer,4,3,0.38,0,0,0,0.09
noirobscure,4,4,0.49,0.13,1,0,0
justeno,1,3,0.16,0.23,1,0,1
azizahmad331,4,4,0.3,0,1,0,0
zhud,2,1,0.79,0.11,0,0,0.33
xzasd2324,3,0,0,0,1,0,0
oxide0x,3,4,0.71,0.18,0,0,0
bainay,2,2,0,0.1,1,0,0
joz-to,2,3,0.5,0.18,0,0,0
adeyemiolaniyi,5,0,0.17,0,1,0,0.17
leonardo24072020,6,4,0.5,0,0,0,0
mehedi421,3,4,0.54,0.1,0,0,0
lliambuckley,4,0,0.8,0,1,1,0
uyen2019,2,4,0.16,0.08,1,0,0.2
happy-dev,2,1,0,0,0,1,0
tdee101,2,2,0.3,0,0,0,0.5
edehzeal,3,1,0.73,0.28,0,0,1
borisolgovny,4,0,0.27,0.05,1,0,1
morgahnag,3,1,0.5,0,1,0,0
vladweat,3,1,0.5,0,0,0,0
kriptzabit,3,0,0.25,0.11,1,0,1
mati632,2,1,0.5,0,1,0,0
jordanaudley1980,6,0,0,0.18,1,0,0
entrigd,2,0,0.8,0.04,0,0,0.5
xz18059,3,0,0,0,1,0,0
shahidul40,2,3,0.5,0.11,0,0,0.02
b-show,2,1,0.17,0.18,1,1,0
djinnfrost,4,2,0.2,0,1,0,0
farooq03k,3,2,0,0.1,1,0,0
yueweile,3,2,0,0,1,0,0
vverma777,3,4,0.42,0.25,1,0,0
griffgreen,3,3,0.37,0,0,1,0.14
denisdrozdov388,6,0,0,0.13,1,0,0
ctom55,2,3,0.15,0.08,1,0,0.4
iss7777,2,0,0.33,0.15,0,0,0
cookiemorales,4,4,0.67,0.08,1,0,0.33
donatoooor,1,1,0.19,0.1,1,0,0
huntergoldman19,7,0,0,0.15,1,0,0
timbero69,3,1,0.5,0,1,0,0
0xmuzzy0707,5,4,0.44,0,1,0,0
abescolearn,4,4,0.32,0.23,1,0,0.5
xczsdxcbvfds,6,0,0,0,1,0,0
carrotdebabe,5,1,0.22,0.16,1,0,0.97
stacketh,1,3,0.7,0,0,0,0.11
adek2008,3,2,0.45,0.05,0,1,0.45
kirik555,2,2,0.44,0.08,1,0,0
loinho234f,4,2,0,0.1,1,0,0
madmanis33,3,0,0.5,0,1,0,0
mackadino2,1,1,0.2,0,1,0,1
runer10999,3,3,0.17,0.21,1,0,0.44
xcvsad909,3,0,0,0,1,0,0
redtvr,2,0,0,0,0,0,0
woogienunu,4,1,0.25,0,0,0,0.26
laurenluz,3,4,0.64,0.16,0,0,0.27
parrachia,3,4,0.69,0.1,0,1,0.11
meliksahsoylu,4,0,0,0,1,0,0
bimz88,2,0,0,0.15,1,0,0.6
faheemraj,3,2,0.33,0.1,0,0,0
ashwathytr,3,1,0.67,0.08,0,0,0.5
apexcollector,1,3,0,0,1,0,0
cagataygoktepe,5,2,0.25,0.13,1,0,0
adyasesh,3,NA,0.12,0,1,0,0
yeeasin,2,3,0.04,0.11,1,0,0.17
ffxvnoctis,5,1,0.12,0.11,1,0,0
hush777,2,0,0,0.07,1,0,0
asardar01,2,3,0,0.15,0,0,0
anamariamb16,4,0,0.51,0.16,1,1,0.23
filiztopal,3,3,0.22,0.03,1,0,0.8
davidwither,2,2,0.79,0.16,0,0,0.18
nona1488,3,0,0.41,0,1,0,0
beastmodus777,4,0,0.23,0.2,0,0,0
holaryeankar007,6,4,0.56,0.16,0,0,0.81
tiendat715,4,4,0.16,0.11,0,0,0.16
angelpandatravel,6,1,0.62,0,1,0,0
wang681,2,2,0.38,0.1,0,0,0.32
mcand58,2,2,0.33,0,0,0,0
fredalways,3,1,0,0,0,0,0.58
caocgx,1,0,0,0,0,0,0.96
xcsdf636,3,0,0,0,1,0,0
bahramgoz,2,3,0,0.08,1,0,0.33
boy-hacky,3,3,0.38,0.2,0,0,0.12
fakirslot,3,0,0,0,1,0,1
russemee,1,3,0.3,0.1,0,0,0.89
danjumap,2,1,0,0,1,0,1
pythagoras567,3,3,0.23,0,1,0,1
bigshortcash,4,0,0,0.11,1,0,1
memzy02,2,1,0.6,0,1,0,0
strangerlord,3,0,0,0,1,0,0
shxdw666,3,2,0.5,0,1,0,0
justahumbleuser,6,0,0.6,0,1,0,0
yakitoribit,3,4,0.06,0,1,0,0
szx0751,3,0,0,0,1,0,0
elrodrigote,4,4,0.28,0,0,0,0
matiaz89,2,0,0.67,0,1,0,0
hugohuhuhu,3,4,0.33,0,1,0,0
0xyuki-kudasai,7,2,0.08,0.11,1,0,0
thresholdlady,6,4,0.69,0.13,1,0,0
bold2020,2,1,0.5,0,1,0,0.33
xiangqishi,2,2,0,0,1,0,1
samuraiman1,3,0,0.33,0.06,1,0,0
tomekwolny,4,0,0.43,0.16,1,0,0
phystil,2,1,0.38,0.1,1,0,0.33
mihalich1956,4,3,0.11,0.28,1,0,0.3
tosfan4ever,4,4,0.67,0,0,1,0
thrilok209,4,3,0.62,0,0,0,0
giomua,2,2,0,0.1,1,0,0
hodlhodlowsky,5,0,0,0,1,0,1
cryptoplankto0n,5,3,0.2,0,1,0,0
erminaaaa,2,0,0.11,0.08,1,0,0
txtha,2,1,0,0.03,1,0,0
emilydrue,4,2,0.5,0,1,1,0
macceroni,3,3,0.29,0.11,0,0,0
lolacreates,4,3,0,0.28,1,0,0
oktaykurt,3,4,0.67,0.34,0,0,0
mailyorka,3,0,0.5,0,1,0,0
ultraman520,2,2,0.32,0,1,0,0
jiaoda36,3,2,0.38,0.13,1,0,1
saxczvxz,3,0,0,0,1,0,0
nedakoon,3,3,0,0.08,1,0,0.25
insom1313,3,4,0.06,0.13,0,0,0.08
